iter	Passed	Remaining
0	0	59
1	1	54
2	1	51
3	1	47
4	2	47
5	2	46
6	3	46
7	4	46
8	4	45
9	5	45
10	5	44
11	6	44
12	6	43
13	7	43
14	7	43
15	8	42
16	8	42
17	9	41
18	9	40
19	10	40
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	16	33
33	16	32
34	17	32
35	17	31
36	18	31
37	18	30
38	19	30
39	19	29
40	20	29
41	20	28
42	20	27
43	21	27
44	22	26
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	36	14
72	36	13
73	37	13
74	37	12
75	38	12
76	39	11
77	39	11
78	40	10
79	40	10
80	41	9
81	41	9
82	42	8
83	42	8
84	43	7
85	43	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
